"","tract","rev","human_services","education","public","religion","arts","health","total","oth","perc_poverty","perc_male_occ","female_headed","crowded_housing","public_assistance","under_30k","less_hs","unemployment","ndi"
"1","101101",0,0,0,0,0,0,0,0,0,0.5,0.1,0.1,0,0.6,0.7,0.3,0.2,0.0917
"2","101102",0,2,0,0,0,1,0,3,0,0.1,0.1,0.1,0,0.1,0.3,0.1,0.1,-0.0239
"3","101200",8717500,6,1,3,0,3,0,13,3,0.4,0.1,0,0,0.4,0.7,0.2,0.1,0.0471
"4","101300",13757526,2,1,0,0,0,1,4,0,0.4,0,0.1,0,0.3,0.6,0.2,0.1,0.0364
"5","101400",3603404,3,0,1,1,0,1,6,1,0.3,0,0.2,0,0.4,0.5,0.3,0.1,0.0463
"6","101501",0,0,0,0,0,0,0,0,0,0.4,0,0.2,0,0.4,0.6,0.3,0.2,0.073
"7","101603",1984781,2,0,0,0,0,0,2,0,0.4,0,0.3,0,0.4,0.6,0.3,0.3,0.0929
"8","101700",3951133,0,1,2,0,0,0,4,3,0.4,0.1,0.2,0,0.5,0.6,0.3,0.2,0.0763
"9","101800",111083678,7,0,0,0,0,2,10,1,0.5,0,0.1,0,0.6,0.7,0.3,0.2,0.0971
"10","101901",849041,2,0,0,0,0,0,2,0,0.2,0.1,0.2,0,0.2,0.3,0.2,0.1,0.0245
"11","102101",41229,1,0,0,1,0,1,3,0,0.3,0,0,0,0.4,0.5,0.2,0.1,0.0373
"12","102102",20958,2,1,0,0,0,0,3,0,0.3,0,0.2,0,0.3,0.5,0.2,0.1,0.0278
"13","102200",798665,0,0,1,1,0,0,2,1,0.2,0.1,0.1,0,0.2,0.4,0.2,0.1,0.0102
"14","102300",437476,1,0,1,0,0,0,2,1,0.3,0,0.2,0.1,0.5,0.5,0.2,0.1,0.0527
"15","102401",0,0,0,0,0,0,0,0,0,0.4,0,0.2,0,0.4,0.4,0.3,0.2,0.0661
"16","102402",0,0,0,0,0,0,0,0,0,0.4,0,0.2,0,0.5,0.6,0.3,0.3,0.0883
"17","102700",547883,1,0,1,1,0,0,3,1,0.4,0,0.2,0,0.5,0.6,0.4,0.2,0.0853
"18","102800",0,0,1,0,0,0,0,1,0,0.5,0,0.2,0,0.5,0.7,0.4,0.2,0.1044
"19","102900",3737716,3,1,1,0,1,0,9,4,0.4,0,0.1,0,0.5,0.6,0.4,0.2,0.0817
"20","103100",3512203,6,0,0,0,2,0,8,0,0.2,0.1,0.1,0.1,0.2,0.4,0.2,0,0.0221
"21","103300",3755713,0,0,0,0,1,1,2,0,0.5,0.2,0.3,0,0.5,0.6,0.2,0.1,0.0625
"22","103400",5870769,1,0,1,0,0,0,2,1,0.4,0,0.1,0,0.4,0.5,0.3,0.1,0.0535
"23","103500",11606789,1,6,1,0,2,1,11,1,0.2,0.1,0.1,0,0.3,0.4,0.2,0.1,0.0133
"24","103602",9337656,5,1,2,0,4,1,20,9,0.3,0.2,0,0,0.4,0.4,0.2,0.1,0.009
"25","103800",46516,0,1,0,0,0,0,2,1,0.3,0,0,0,0.6,0.5,0.3,0.1,0.0534
"26","103900",4815762,5,1,1,0,2,1,10,1,0.4,0.1,0.1,0,0.5,0.6,0.3,0.2,0.0643
"27","104100",6494008,0,0,1,0,2,0,4,2,0.5,0.1,0.1,0,0.6,0.7,0.3,0.2,0.0788
"28","104200",102655,0,0,0,0,1,0,1,0,0.2,0.1,0.1,0,0.2,0.4,0.1,0,0.004
"29","104300",10273594,3,3,5,0,0,1,13,6,0.1,0.1,0,0,0.1,0.2,0.1,0,-0.0371
"30","104400",211421,2,0,2,0,1,0,6,3,0.3,0.1,0.1,0,0.3,0.4,0.2,0.1,0.0091
"31","104600",7390144,1,2,2,0,1,1,8,3,0.4,0.1,0.1,0,0.6,0.7,0.2,0.1,0.0626
"32","104800",9406997,0,1,2,0,1,1,5,2,0.3,0,0.1,0,0.4,0.5,0.2,0.1,0.0428
"33","104900",0,0,0,0,0,1,0,1,0,0.4,0,0.1,0.1,0.5,0.6,0.3,0.2,0.0869
"34","105100",12312276,1,0,0,0,0,1,4,2,0.3,0,0.2,0,0.5,0.6,0.3,0.2,0.073
"35","105300",10787,0,0,0,0,0,0,2,2,0.4,0,0.2,0,0.5,0.6,0.4,0.2,0.0809
"36","105400",199141,2,0,0,0,1,1,6,2,0.3,0,0.2,0,0.4,0.5,0.2,0.1,0.0589
"37","105500",0,0,0,0,0,0,0,0,0,0.4,0,0.2,0,0.5,0.6,0.3,0.2,0.0751
"38","105602",3532069,0,0,1,0,0,0,3,3,0.4,0,0.2,0,0.5,0.7,0.4,0.2,0.091
"39","105700",3402458,0,0,0,0,1,0,2,1,0.3,0,0.1,0,0.4,0.6,0.3,0.1,0.0546
"40","105900",1155774,0,0,1,0,2,0,6,4,0.2,0,0.1,0,0.3,0.4,0.2,0.1,0.0198
"41","106100",0,0,0,1,0,0,0,1,1,0.1,0,0.1,0,0.2,0.2,0.1,0.1,-0.003
"42","106200",0,2,0,0,1,0,0,5,2,0.2,0,0.1,0,0.2,0.4,0.2,0.1,0.0106
"43","106300",7419785,1,0,0,1,1,0,5,2,0.2,0,0.1,0,0.4,0.5,0.2,0.1,0.0292
"44","106400",0,0,0,0,0,0,0,0,0,0.2,0,0.1,0,0.3,0.5,0.2,0.1,0.0247
"45","106500",3928487,0,1,0,1,2,0,4,0,0.2,0,0.1,0,0.2,0.2,0.1,0.1,-0.0043
"46","106600",2089177,1,1,1,1,0,0,5,2,0.3,0,0.2,0,0.3,0.4,0.2,0.1,0.0362
"47","106800",839351,1,0,3,0,1,1,6,3,0.5,0,0.1,0,0.5,0.6,0.2,0.2,0.0643
"48","106900",164543,2,0,0,0,0,0,3,1,0.2,0.1,0.1,0,0.2,0.4,0.1,0.1,0.0049
"49","107000",140,0,0,2,0,0,0,3,3,0,0,0,0,0.1,0.2,0.1,0,-0.0316
"50","107101",103010568,12,1,6,0,5,1,26,7,0.1,0.2,0,0,0.1,0.2,0.2,0,-0.0386
"51","107701",421754264,37,15,58,5,10,11,153,75,0.2,0.2,0,0,0.1,0.3,0.1,0.1,-0.0228
"52","107802",188878287,31,9,14,1,11,3,74,19,0.6,0.1,0,0,0.4,0.7,0.3,0.2,0.0629
"53","108201",10198337,3,3,2,0,3,1,12,2,0.3,0.1,0,0,0.3,0.5,0.3,0.1,0.0278
"54","108301",57703445,15,5,6,0,1,3,36,12,0.3,0.1,0,0,0.1,0.6,0.3,0.1,0.0267
"55","108400",28268,1,0,1,0,0,0,2,1,0.5,0,0.2,0,0.5,0.8,0.3,0.1,0.0891
"56","108701",148015498,22,6,14,0,2,8,56,18,0.7,0,0.4,0,0.7,0.9,0.3,0.4,0.166
"57","109301",48762815,4,1,1,0,1,6,14,2,0.6,0,0.1,0,0.6,0.7,0.2,0.3,0.0981
"58","109701",0,1,0,1,0,0,0,2,1,0.9,0,0.6,0.1,0.9,1,0.3,0.4,0.2125
"59","109801",0,0,0,0,0,0,0,0,0,0.8,0,0.5,0,0.8,0.9,0.4,0.4,0.1908
"60","110501",7836108,2,2,0,0,1,1,6,0,0.5,0,0,0,0.6,0.7,0.3,0.2,0.0802
"61","110801",15096250,5,3,0,0,0,0,9,1,0.3,0,0.2,0,0.5,0.7,0.3,0.3,0.0917
"62","110901",4117067,3,1,0,0,1,0,5,0,0.4,0,0.2,0.1,0.4,0.6,0.3,0.3,0.0914
"63","111202",7405165,3,1,2,0,1,0,8,3,0.3,0,0.1,0,0.4,0.6,0.3,0.2,0.0579
"64","111401",0,0,0,0,1,0,0,1,0,0.4,0,0.3,0.1,0.6,0.7,0.2,0.3,0.1114
"65","111500",14275669,1,2,2,0,0,0,5,2,0.4,0,0.1,0,0.2,0.6,0.2,0.2,0.046
"66","111600",0,0,0,0,0,0,0,0,0,0.6,0,0.2,0,0.5,0.8,0.4,0.3,0.1167
"67","111700",0,0,0,0,0,0,0,0,0,0.4,0,0.3,0,0.5,0.6,0.4,0.3,0.1055
"68","111800",569652,0,0,0,0,0,1,1,0,0.4,0,0.3,0,0.5,0.7,0.3,0.1,0.099
"69","111902",1736560,0,0,1,0,0,1,2,1,0.6,0.2,0.3,0.1,0.7,0.8,0.2,0.4,0.1275
"70","112100",15668158,8,0,0,0,0,0,8,0,0.6,0,0.1,0,0.6,0.9,0.3,0.3,0.1189
"71","112200",0,0,0,0,0,0,0,0,0,0.4,0,0.1,0,0.5,0.6,0.3,0.3,0.0876
"72","112301",232367,2,0,0,0,1,0,3,0,0.6,0,0.2,0.1,0.6,0.7,0.3,0.4,0.1282
"73","112400",904780,0,0,1,0,0,0,1,1,0.1,0,0.2,0,0.3,0.3,0.2,0.1,0.031
"74","112500",0,0,0,0,0,0,0,0,0,0.4,0,0.2,0,0.5,0.6,0.2,0.3,0.0897
"75","112600",22500,0,0,1,0,0,1,2,1,0.6,0,0.3,0,0.6,0.8,0.3,0.4,0.1389
"76","112800",5827,1,0,0,0,0,0,1,0,0.5,0.2,0.1,0,0.5,0.7,0.3,0.3,0.0803
"77","113101",7544382602,7,2,3,0,4,6,23,4,0.4,0,0,0,0.4,0.9,0.4,0.2,0.0835
"78","113500",1665870,1,0,2,0,1,0,4,2,0.4,0,0.2,0,0.4,0.6,0.3,0.3,0.0795
"79","113600",0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0.3,0.6,0.2,0.2,0.0569
"80","113801",362351,1,0,1,0,0,0,2,1,0.6,0,0.2,0.1,0.7,0.8,0.4,0.4,0.1395
"81","114100",0,0,0,0,0,0,0,0,0,0.5,0,0.3,0,0.6,0.9,0.3,0.4,0.1207
"82","114300",0,0,0,0,0,0,0,0,0,0.8,0.1,0.7,0,0.8,0.9,0.3,0.4,0.1935
"83","114501",5857785,0,1,1,0,0,0,2,1,0.5,0,0.1,0.1,0.5,0.8,0.2,0.2,0.0826
"84","114600",0,0,0,0,0,0,0,0,0,0.3,0.1,0.2,0,0.5,0.5,0.2,0.3,0.0644
"85","114700",2406377,1,0,0,0,0,0,1,0,0.8,0,0.4,0,0.8,0.9,0.3,0.5,0.1714
"86","114900",0,0,0,0,0,1,0,1,0,0.5,0,0.1,0,0.5,0.8,0.2,0.3,0.0979
"87","115100",40130,0,0,1,0,0,0,1,1,0.5,0,0.2,0,0.4,0.7,0.3,0.2,0.091
"88","115200",0,0,0,0,0,0,0,1,1,0.5,0,0.2,0.1,0.5,0.6,0.3,0.2,0.1009
"89","115300",37328,1,0,0,0,0,0,1,0,0.5,0,0.3,0,0.5,0.7,0.3,0.3,0.0995
"90","115400",389891,1,0,1,0,2,0,4,1,0.4,0,0.1,0,0.4,0.5,0.3,0.3,0.0596
"91","115700",2889698,1,1,0,0,0,0,2,0,0.3,0,0.1,0,0.4,0.6,0.3,0.2,0.0555
"92","115800",154396,0,0,1,0,0,0,3,3,0.4,0,0.2,0,0.5,0.5,0.2,0.2,0.0761
"93","115900",0,0,0,0,1,0,0,1,0,0.3,0.1,0.2,0,0.4,0.5,0.2,0.2,0.0492
"94","116100",1961514,2,2,1,0,0,0,5,1,0.4,0,0.4,0,0.5,0.7,0.2,0.2,0.0945
"95","116200",0,0,0,0,0,0,0,0,0,0.3,0.1,0,0,0.4,0.5,0.2,0.2,0.0348
"96","116300",0,0,0,0,0,0,0,0,0,0.3,0.1,0.2,0,0.4,0.6,0.1,0.3,0.059
